"","chromosome","best_score","best_length"
"chr9.13","chr9",1,700000
"chr9.14","chr9",1,700000
"chr9.15","chr9",1,1100000
"chr9.16","chr9",0.789473684210526,600000
"chr9.17","chr9",1,800000
"chr9.18","chr9",1,700000
"chr9.19","chr9",1,500000
"chr9.20","chr9",1,1700000
"chr9.21","chr9",1,600000
"chr9.22","chr9",1,700000
"chr9.23","chr9",1,4100000
"chr9.24","chr9",1,5200000
"chr9.25","chr9",0.730769230769231,500000
"chr9.26","chr9",1,900000
"chr9.27","chr9",0.814814814814815,1100000
"chr9.28","chr9",1,900000
"chr9.29","chr9",1,900000
"chr9.30","chr9",1,300000
"chr9.31","chr9",1,1600000
"chr9.32","chr9",1,1200000
"chr9.33","chr9",0,2100000
"chr9.34","chr9",0,1400000
"chr9.35","chr9",0,1300000
"chr9.36","chr9",0,700000
"chr9.37","chr9",0,700000
"chr9.38","chr9",0,500000
"chr9.39","chr9",0,1700000
"chr9.40","chr9",0,200000
"chr9.41","chr9",0,1600000
"chr9.42","chr9",0,600000
"chr9.43","chr9",0,1800000
"chr9.44","chr9",0,1300000
"chr9.45","chr9",0,1700000
"chr9.46","chr9",0,2900000
"chr9.47","chr9",0,300000
"chr9.48","chr9",0,300000
"chr9.49","chr9",0,500000
"chr9.50","chr9",0,1400000
"chr9.51","chr9",0,600000
"chr9.52","chr9",0,1400000
"chr9.53","chr9",0,1400000
"chr9.54","chr9",0,700000
"chr9.55","chr9",0,700000
"chr9.56","chr9",0,1200000
"chr9.57","chr9",0,700000
"chr9.58","chr9",0,1600000
"chr9.59","chr9",0,700000
"chr9.60","chr9",0,1100000
"chr9.61","chr9",1,1100000
"chr9.62","chr9",0.222222222222222,400000
"chr9.63","chr9",1,700000
"chr9.64","chr9",1,1200000
"chr9.65","chr9",1,1100000
"chr9.66","chr9",1,3100000
"chr9.67","chr9",1,1100000
"chr9.68","chr9",1,1600000
"chr9.69","chr9",1,1300000
"chr9.70","chr9",0.710526315789474,600000
"chr9.71","chr9",0.831578947368421,900000
"chr9.72","chr9",1,800000
"chr9.73","chr9",1,1700000
"chr9.74","chr9",1,700000
"chr9.75","chr9",1,900000
"chr9.76","chr9",1,1200000
"chr9.77","chr9",1,800000
"chr9.78","chr9",1,1900000
"chr9.79","chr9",0.76,1100000
"chr9.80","chr9",0.6875,700000
"chr9.81","chr9",0.75,600000
"chr9.82","chr9",1,800000
"chr9.83","chr9",1,500000
"chr9.84","chr9",1,500000
"chr9.85","chr9",1,900000
"chr9.86","chr9",0.580645161290323,600000
"chr9.87","chr9",0.419354838709677,1100000
"chr9.88","chr9",1,800000
"chr9.89","chr9",1,400000
"chr9.90","chr9",1,700000
"chr9.91","chr9",1,700000
"chr9.92","chr9",0.476190476190476,300000
"chr9.93","chr9",1,600000
"chr9.94","chr9",0.956521739130435,700000
"chr9.95","chr9",1,1000000
"chr9.96","chr9",1,1600000
"chr9.97","chr9",0,600000
"chr9.98","chr9",0,400000
"chr9.99","chr9",1,800000
"chr9.100","chr9",1,800000
"chr9.101","chr9",NA,NA
"chr9.102","chr9",NA,NA
"chr9.103","chr9",NA,NA
"chr9.104","chr9",NA,NA
"chr9.105","chr9",NA,NA
"chrX.1","chrX",0.808823529411765,900000
"chrX.2","chrX",1,1500000
"chrX.3","chrX",1,1000000
"chrX.4","chrX",1,2000000
"chrX.5","chrX",1,1100000
"chrX.6","chrX",0.443396226415094,800000
"chrX.7","chrX",0.866666666666667,800000
"chrX.8","chrX",0.347826086956522,1000000
"chrX.9","chrX",1,1000000
"chrX.10","chrX",1,700000
"chrX.11","chrX",1,800000
"chrX.12","chrX",1,1500000
"chrX.13","chrX",1,1400000
"chrX.14","chrX",1,700000
"chrX.15","chrX",0,600000
"chrX.16","chrX",1,800000
"chrX.17","chrX",0.966101694915254,600000
"chrX.18","chrX",1,1300000
"chrX.19","chrX",1,1900000
"chrX.20","chrX",0.693548387096774,500000
"chrX.21","chrX",0.306451612903226,1000000
"chrX.22","chrX",0.493506493506494,1300000
"chrX.23","chrX",1,800000
"chrX.24","chrX",1,1800000
"chrX.25","chrX",0.659574468085106,800000
"chrX.26","chrX",1,900000
"chrX.27","chrX",0,800000
"chrX.28","chrX",0,600000
"chrX.29","chrX",0.9,1100000
"chrX.30","chrX",0.826086956521739,1100000
"chrX.31","chrX",1,1500000
"chrX.32","chrX",0.865284974093264,1000000
"chrX.33","chrX",1,1400000
"chrX.34","chrX",0.675675675675676,600000
"chrX.35","chrX",0.883495145631068,700000
"chrX.36","chrX",1,2000000
"chrX.37","chrX",1,1500000
"chrX.38","chrX",1,1400000
"chrX.39","chrX",0.85,1000000
"chrX.40","chrX",1,1100000
"chrX.41","chrX",1,800000
"chrX.42","chrX",1,1300000
"chrX.43","chrX",1,2700000
"chrX.44","chrX",0,500000
"chrX.45","chrX",1,1500000
"chrX.46","chrX",1,2500000
"chrX.47","chrX",1,1200000
"chrX.48","chrX",0,1400000
"chrX.49","chrX",1,1000000
"chrX.50","chrX",0.571428571428571,700000
"chrX.51","chrX",0.958333333333333,900000
"chrX.52","chrX",0,800000
"chrX.53","chrX",0,600000
"chrX.54","chrX",0,1500000
"chrX.55","chrX",0.03125,1800000
"chrX.56","chrX",0.78125,1200000
"chrX.57","chrX",0.517241379310345,700000
"chrX.58","chrX",0.482758620689655,1300000
"chrX.59","chrX",0.692857142857143,1200000
"chrX.60","chrX",1,800000
"chrX.61","chrX",1,2500000
"chrX.62","chrX",1,1000000
"chrX.63","chrX",0,700000
"chrX.64","chrX",1,1700000
"chrX.65","chrX",1,1800000
"chrX.66","chrX",0.604395604395604,1000000
"chrX.67","chrX",1,2600000
"chrX.68","chrX",1,1400000
"chrX.69","chrX",1,2800000
"chrX.70","chrX",1,800000
"chrX.71","chrX",0.270833333333333,900000
"chrX.72","chrX",0,500000
"chrX.73","chrX",1,1100000
"chrX.74","chrX",0,900000
"chrX.75","chrX",0,1300000
"chrX.76","chrX",0,400000
"chrX.77","chrX",0.00588235294117647,1100000
"chrX.78","chrX",0.241176470588235,400000
"chrX.79","chrX",0.770588235294118,900000
"chrX.80","chrX",0.229411764705882,700000
"chrX.81","chrX",0.428571428571429,400000
"chrX.82","chrX",1,500000
"chrX.83","chrX",1,1300000
"chrX.84","chrX",0.764705882352941,1200000
"chrX.85","chrX",0,1000000
"chrX.86","chrX",0,600000
"chrX.87","chrX",1,2400000
"chrX.88","chrX",0.439024390243902,1200000
"chrX.89","chrX",1,700000
"chrX.90","chrX",0,800000
"chrX.91","chrX",1,1300000
"chrX.92","chrX",0.823529411764706,800000
"chrX.93","chrX",0.311111111111111,400000
"chrX.94","chrX",1,5400000
"chrX.95","chrX",0.517241379310345,900000
"chrX.96","chrX",0.482758620689655,800000
"chrX.97","chrX",1,800000
"chrX.98","chrX",1,1100000
"chrX.99","chrX",0.695652173913043,600000
"chrX.100","chrX",0,600000
"chrX.101","chrX",1,900000
"chrX.102","chrX",1,1000000
"chrX.103","chrX",1,1000000
"chrX.104","chrX",1,700000
"chrX.105","chrX",1,1200000
"chrX.106","chrX",0.407079646017699,700000
"chrX.107","chrX",1,4000000
"chrX.108","chrX",1,2800000
"chrX.109","chrX",0.703125,1500000
"chrX.110","chrX",1,400000
"chrX.111","chrX",0.35,700000
"chrX.112","chrX",1,900000
"chrX.113","chrX",1,1100000
"chrX.114","chrX",1,700000
"chrX.115","chrX",0,400000
"chrX.116","chrX",1,900000
"chrX.117","chrX",0.952380952380952,200000
"chrX.118","chrX",NA,NA
"chrX.119","chrX",NA,NA
"chrX.120","chrX",NA,NA
"chrX.121","chrX",NA,NA
"chrX.122","chrX",NA,NA
"chrX.123","chrX",NA,NA
"chrX.124","chrX",NA,NA
"chrX.125","chrX",NA,NA
"chrX.126","chrX",NA,NA
